Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
Total Leads,399,,,Santiago,186,60,42,58,55,3,8,4,4,4,0,"$43,350"
Total Hired (All),19,,,Peter,94,32,31,30,30,0,3,1,2,2,0,"$1,300"
Total Hired (Excluding Strategy Sessions),13,,,Heury,72,17,14,16,16,0,2,2,0,0,0,"$15,225"
Total SQLs,107,,,Lu,27,15,14,15,15,0,5,5,0,0,0,"$47,050"
Total MQLs,135,,,Gizelle,14,9,4,9,7,2,0,0,0,0,0,$0
Total Scheduled,129,,,Fabio,5,1,1,0,0,0,0,0,0,0,0,$0
Total Showups,124,,,Carly,1,1,1,1,1,0,1,1,0,0,0,"$11,000"
Total No Shows,5,,,TOTAL,399,135,107,129,124,5,19,13,6,6,0,"$117,925"
Total Marketing Contacts,36,,,,,,,,,,,,,,,
Average Daily Leads,57.0,,,,,,,,,,,,,,,
Consultation Rate (%),32%,,,,,,,,,,,,,,,
Conversion Rate (%),4.76%,,,,,,,,,,,,,,,
MQL Rate (%),33.83%,,,,,,,,,,,,,,,
SQL Rate (%),26.82%,,,,,,,,,,,,,,,
Total Revenue,"$117,925",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reason Analysis,,,,,,,,,,,,,,,,
Reason,Count,Percentage,,,,,,,,,,,,,,
Scheduled,129,32.3,,Family,,,,,,,,,,,,
In-Progress,125,31.3,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Outside Jurisdiction,46,11.5,,182,91,78,87,84,9,11,"$96,675",5,5,,,
Not a Matter We Handle,27,6.8,,,,,,,,,,,,,,
Pricing Issue,23,5.8,,,,,,,,,,,,,,
Wrong Number,12,3.0,,Civil,,,,,,,,,,,,
Free Legal Advice,12,3.0,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Declined Case,9,2.3,,57,14,7,15,14,0,0,$650,1,1,,,
Mentally Unwell,6,1.5,,,,,,,,,,,,,,
Not Interested,4,1.0,,,,,,,,,,,,,,
Matter already handled,2,0.5,,Criminal,,,,,,,,,,,,
Not Ready,1,0.3,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Legal Question,1,0.3,,55,18,14,17,16,3,0,"$15,450",0,0,,,
Probono,1,0.3,,,,,,,,,,,,,,
No Contact,1,0.3,,,,,,,,,,,,,,
,,,,Real Estate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,26,6,3,7,7,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Probate,,,,,,,,,,,,
