Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
Total Leads,104,,,Claud,34,8,5,8,3,1,1,1,0,0,0,"$7,500"
Total Hired (All),6,,,Santiago,33,10,7,11,7,3,2,2,0,0,0,"$10,000"
Total Hired (Excluding Strategy Sessions),6,,,Liann,16,6,4,8,5,0,1,1,0,0,0,$670
Total SQLs,19,,,Heury,7,0,0,0,0,0,0,0,0,0,0,$0
Total MQLs,28,,,Peter,7,1,1,3,2,1,1,1,0,0,0,"$7,725"
Total Scheduled,34,,,Gizelle,4,1,0,1,0,1,0,0,0,0,0,$0
Total Showups,20,,,Lu,2,2,2,2,2,0,1,1,0,0,0,"$13,500"
Total No Shows,6,,,TOTAL,104,28,19,34,20,6,6,6,0,0,0,"$39,394"
Total Marketing Contacts,4,,,,,,,,,,,,,,,
Average Daily Leads,14.9,,,,,,,,,,,,,,,
Consultation Rate (%),33%,,,,,,,,,,,,,,,
Conversion Rate (%),5.77%,,,,,,,,,,,,,,,
MQL Rate (%),26.92%,,,,,,,,,,,,,,,
SQL Rate (%),18.27%,,,,,,,,,,,,,,,
Total Revenue,"$39,394",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reason Analysis,,,,,,,,,,,,,,,,
Reason,Count,Percentage,,,,,,,,,,,,,,
Scheduled,36,34.6,,Family,,,,,,,,,,,,
Pricing Issue,13,12.5,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
In-Progress,13,12.5,,33,16,11,19,10,4,1,"$21,894",0,0,,,
Not a Matter We Handle,9,8.7,,,,,,,,,,,,,,
Outside Jurisdiction,6,5.8,,,,,,,,,,,,,,
Free Legal Advice,5,4.8,,Civil,,,,,,,,,,,,
Spam,5,4.8,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Probono,4,3.8,,25,5,3,6,5,1,0,"$10,000",0,0,,,
Mentally Unwell,4,3.8,,,,,,,,,,,,,,
Not Interested,3,2.9,,,,,,,,,,,,,,
Legal Aid,2,1.9,,Criminal,,,,,,,,,,,,
No Contact,1,1.0,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Indigent,1,1.0,,13,3,2,3,1,1,0,"$7,500",0,0,,,
Wrong Number,1,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Real Estate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,11,3,3,5,3,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Probate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,1,1,0,1,1,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Other,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,21,0,0,0,0,0,3,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Source Analysis,,,,,,,,,,,,
,,,,Channel,Total Leads,MQLs,SQLs,Scheduled,Hired,Total Value,Conversion Rate (%),Schedule Rate (%),MQL Rate (%),SQL Rate (%),,
,,,,Google,51,9,5,13,1,"$10,000",2.0,25.5,17.6,9.8,,
,,,,Unassigned,12,1,0,1,0,$0,0.0,8.3,8.3,0.0,,
,,,,Google LSA,11,4,2,4,1,"$7,725",9.1,36.4,36.4,18.2,,
,,,,Website,9,3,3,2,0,$0,0.0,22.2,33.3,33.3,,
,,,,Denise Isaacs,8,5,4,6,2,"$13,500",25.0,75.0,62.5,50.0,,
,,,,Referral-Attorney,3,1,1,2,0,$0,0.0,66.7,33.3,33.3,,
,,,,Avvo,2,2,1,2,1,"$7,500",50.0,100.0,100.0,50.0,,
,,,,Referral-Friend,2,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Associated with Contact Lead,1,1,1,1,1,$670,100.0,100.0,100.0,100.0,,
,,,,Facebook,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Instagram,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,Mark Schecter,1,0,0,1,0,$0,0.0,100.0,0.0,0.0,,
,,,,Mark Shecter,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,Referral-Client,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,TOTAL,104,28,19,34,6,"$39,394",5.77,32.7,26.92,18.27,,
