Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
Total Leads,111,,,Santiago,44,16,12,16,12,0,1,1,0,0,0,"$1,035"
Total Hired (All),7,,,Liann,28,10,8,11,11,0,2,2,0,0,0,"$1,700"
Total Hired (Excluding Strategy Sessions),7,,,Peter,13,1,1,2,2,0,0,0,0,0,0,$0
Total SQLs,31,,,Heury,8,1,1,1,1,0,0,0,0,0,0,$0
Total MQLs,39,,,Meylin,6,2,2,1,1,0,0,0,0,0,0,$0
Total Scheduled,40,,,Lu,5,5,3,5,5,0,1,1,0,0,0,$670
Total Showups,36,,,Gizelle,3,1,1,1,1,0,1,1,0,0,0,"$1,035"
Total No Shows,0,,,TOTAL,111,39,31,40,36,0,7,7,0,0,0,"$15,089"
Total Marketing Contacts,4,,,,,,,,,,,,,,,
Average Daily Leads,15.9,,,,,,,,,,,,,,,
Consultation Rate (%),36%,,,,,,,,,,,,,,,
Conversion Rate (%),6.31%,,,,,,,,,,,,,,,
MQL Rate (%),35.14%,,,,,,,,,,,,,,,
SQL Rate (%),27.93%,,,,,,,,,,,,,,,
Total Revenue,"$15,089",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reason Analysis,,,,,,,,,,,,,,,,
Reason,Count,Percentage,,,,,,,,,,,,,,
Scheduled,41,36.9,,Family,,,,,,,,,,,,
In-Progress,15,13.5,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Not a Matter We Handle,13,11.7,,35,15,13,15,15,2,0,"$10,670",0,0,,,
Outside Jurisdiction,13,11.7,,,,,,,,,,,,,,
Pricing Issue,10,9.0,,,,,,,,,,,,,,
Not Interested,4,3.6,,Civil,,,,,,,,,,,,
Wrong Number,3,2.7,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Declined Case,3,2.7,,27,6,5,7,6,3,0,"$2,740",0,0,,,
Free Legal Advice,2,1.8,,,,,,,,,,,,,,
Mentally Unwell,2,1.8,,,,,,,,,,,,,,
No Contact,2,1.8,,Criminal,,,,,,,,,,,,
Legal Question,2,1.8,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
Legal Aid,1,0.9,,22,12,8,12,9,1,0,"$1,030",0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Real Estate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,10,4,3,4,4,1,0,$650,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Probate,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,0,0,0,0,0,0,0,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Other,,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,,
,,,,15,0,0,0,0,0,4,$0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Source Analysis,,,,,,,,,,,,
,,,,Channel,Total Leads,MQLs,SQLs,Scheduled,Hired,Total Value,Conversion Rate (%),Schedule Rate (%),MQL Rate (%),SQL Rate (%),,
,,,,Google - Fort Lauderdale,36,10,8,9,1,"$10,000",2.8,25.0,27.8,22.2,,
,,,,Google,30,13,10,13,4,"$3,024",13.3,43.3,43.3,33.3,,
,,,,Google LSA,9,5,4,5,0,$0,0.0,55.6,55.6,44.4,,
,,,,LSA - Palm Beach,6,2,1,2,0,$0,0.0,33.3,33.3,16.7,,
,,,,LSA- Fort Lauderdale,6,1,1,2,0,$0,0.0,33.3,16.7,16.7,,
,,,,Unassigned,6,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Referral-Attorney,5,5,4,5,2,"$2,065",40.0,100.0,100.0,80.0,,
,,,,Website,4,1,1,1,0,$0,0.0,25.0,25.0,25.0,,
,,,,Denise Isaacs,2,0,0,1,0,$0,0.0,50.0,0.0,0.0,,
,,,,LSA - Miami,2,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Referral-Friend,2,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,LSA - Boca,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Referral-Business Associate,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,"Todd I. Stone, P.A.",1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,TOTAL,111,39,31,40,7,"$15,089",6.31,36.0,35.14,27.93,,
