Summary Table,,,,Intake Performance,,,,,,,,,,,,
Metric,Value,,,Agent,Total Leads,MQLs,SQLs,Scheduled,Showups,No Shows,Hired (All),Hired (Excl. Strategy),Strategy Sessions,Converted Sessions,Unconverted Sessions,Total Value
Total Leads,139,,,Carly,1,1,1,1,1,0,1,1,0,0,0,"$11,000"
Total Hired (All),7,,,Gizelle,4,3,0,3,2,1,0,0,0,0,0,$0
Total Hired (Excluding Strategy Sessions),6,,,Heury,28,7,7,6,6,0,1,1,0,0,0,"$7,500"
Total SQLs,38,,,Lu,4,3,3,3,3,0,2,2,0,0,0,"$12,875"
Total MQLs,45,,,Peter,27,9,8,8,8,0,0,0,0,0,0,$0
Total Scheduled,42,,,Santiago,75,22,19,21,21,0,3,2,1,1,0,"$18,150"
Total Showups,41,,,TOTAL,139,45,38,42,41,1,7,6,1,1,0,"$49,525.00"
Total No Shows,1,,,,,,,,,,,,,,,
Total Marketing Contacts,9,,,,,,,,,,,,,,,
Average Daily Leads,19.9,,,,,,,,,,,,,,,
Consultation Rate (%),30%,,,,,,,,,,,,,,,
Conversion Rate (%),5.04%,,,,,,,,,,,,,,,
MQL Rate (%),32.37%,,,,,,,,,,,,,,,
SQL Rate (%),27.34%,,,,,,,,,,,,,,,
Total Revenue,"$49,525.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reason Analysis,,,,,,,,,,,,,,,,
Reason,Count,Percentage,,,,,,,,,,,,,,
In-Progress,47,33.8,,Family,,,,,,,,,,,
Scheduled,44,31.7,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
Outside Jurisdiction,19,13.7,,60,31,27,28,28,5,0,"$36,650",1,1,,
Not a Matter We Handle,8,5.8,,,,,,,,,,,,,
Pricing Issue,6,4.3,,,,,,,,,,,,,
Mentally Unwell,5,3.6,,Civil,,,,,,,,,,,
Free Legal Advice,3,2.2,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
Declined Case,2,1.4,,17,2,1,4,4,0,0,$0,0,0,,
Probono,1,0.7,,,,,,,,,,,,,
Matter already handled,1,0.7,,,,,,,,,,,,,
Wrong Number,1,0.7,,Criminal,,,,,,,,,,,
No Contact,1,0.7,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
Not Interested,1,0.7,,25,6,5,6,5,1,0,"$7,725",0,0,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Real Estate,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
,,,,10,2,2,2,2,0,0,$0,0,0,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Probate,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
,,,,0,0,0,0,0,0,0,$0,0,0,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Other,,,,,,,,,,,
,,,,Leads,MQLs,SQLs,Scheduled,Showups,New Matters,Marketing Contacts,Total Value,Strategy Sessions,Converted Sessions,,
,,,,27,4,3,2,2,1,9,"$5,150",0,0,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Source Analysis,,,,,,,,,,,,
,,,,Channel,Total Leads,MQLs,SQLs,Scheduled,Hired,Total Value,Conversion Rate (%),Schedule Rate (%),MQL Rate (%),SQL Rate (%),,
,,,,Google- Miami,25,7,7,8,0,$0,0.0,32.0,28.0,28.0,,
,,,,Google - Fort Lauderdale,24,9,6,7,0,$0,0.0,29.2,37.5,25.0,,
,,,,LSA- Fort Lauderdale,15,5,3,4,1,"$7,500",6.7,26.7,33.3,20.0,,
,,,,Website,14,2,2,2,1,"$11,000",7.1,14.3,14.3,14.3,,
,,,,Denise Isaacs,12,9,9,8,3,"$20,375",25.0,66.7,75.0,75.0,,
,,,,Facebook,7,1,1,1,0,$0,0.0,14.3,14.3,14.3,,
,,,,LSA - Miami,7,1,1,0,0,$0,0.0,0.0,14.3,14.3,,
,,,,LSA - Palm Beach,7,1,1,1,0,$0,0.0,14.3,14.3,14.3,,
,,,,Google - Boca Raton,5,2,2,3,0,$0,0.0,60.0,40.0,40.0,,
,,,,Google - Palm Beach,5,3,1,3,0,$0,0.0,60.0,60.0,20.0,,
,,,,Unassigned,4,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Referral-Attorney,4,2,2,2,2,"$10,650",50.0,50.0,50.0,50.0,,
,,,,Referral-Friend,2,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Avvo,2,1,1,1,0,$0,0.0,50.0,50.0,50.0,,
,,,,YouTube,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Referral-Client,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,TikTok,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,Chat GPT,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,Associated with Contact Lead,1,1,1,1,0,$0,0.0,100.0,100.0,100.0,,
,,,,LSA - Boca,1,0,0,0,0,$0,0.0,0.0,0.0,0.0,,
,,,,TOTAL,139,45,38,42,7,"$49,525.00",5.04,30.2,32.37,27.34,,
